Soil	OTU_ID	Direction	baseMean	estimate	stderror	statistic	p.value	p.adjusted
Arbuckle	GQ397052.1.1443	Enriched in SG	47.170879678252	-6.30481181679157	0.935947629068645	-6.74793989949929	1.4995903431449e-11	6.05072801948306e-10
Arbuckle	FPLK01001369.11.1487	Enriched in SG	8.82361746642377	-3.961224004181	1.56830551626217	-2.49674249282265	0.0125339938399915	0.0485692261299669
Arbuckle	DQ421393.1.1523	Enriched in SI	23.497742097523	8.92717931299205	1.69322737988271	4.99803234171802	5.79182727008119e-07	8.00153528290565e-06
Arbuckle	KM200381.1.1511	Enriched in SI	4.46654549353881	5.13704925091559	1.55153535133894	3.27997544487907	0.00103816121945013	0.00587751852971546
Arbuckle	FPLP01007043.15.1497	Enriched in SG	3.00309340862165	-6.06492203237254	1.85889176202857	-3.18012788816109	0.00147210068924878	0.00792278005218734
Arbuckle	DQ517952.1.1496	Enriched in SG	92.6792500348921	-3.0775797315488	0.532784689129612	-5.77165362777472	7.84973453158975e-09	1.70547223754711e-07
Arbuckle	JN868941.1.1476	Enriched in SI	1.66439430602614	4.50417471594094	1.63059632215254	2.72014735784457	0.0065252830308418	0.0285987404558618
Arbuckle	FPLS01028294.15.1485	Enriched in SG	4.54465616211383	-2.97786035726383	1.18419013399969	-2.50198785003164	0.0123498163051958	0.0480023210252475
Arbuckle	FPLS01017303.111.1632	Enriched in SG	46.431417134347	-9.63612619989512	1.21417815947938	-7.88805283000734	3.06937833915947e-15	2.51689023811076e-13
Arbuckle	HM159974.1.1513	Enriched in SI	6.70389309035502	7.39189861800345	1.19851979467203	6.02599593916244	1.68071402662305e-09	4.2300743125503e-08
Arbuckle	JF808849.1.1517	Enriched in SG	3.60786555845664	-5.44059667874376	2.03414823631278	-2.59367951643955	0.00949549532794744	0.0384968885544536
Arbuckle	KC286814.1.1514	Enriched in SI	45.81348667796	4.37090491876567	1.41340348173909	3.08443737539814	0.00203937539719177	0.0105797801217581
Arbuckle	EU132827.1.1382	Enriched in SI	2.10874979647353	3.94389303246769	1.58484014931242	2.48844495840166	0.0128303095735828	0.0493413720666377
Arbuckle	CP007444.4552578.4554122	Enriched in SI	97.0287102843957	6.10828540400459	1.09809484908758	5.36381742167425	8.14812667782401e-08	1.39010322248514e-06
Arbuckle	EF364387.1.1474	Enriched in SI	14.2676504918211	4.0867116270147	1.03353550108848	3.88414345002615	0.000102691267743644	0.000772311250308704
Arbuckle	KU515028.1.1496	Enriched in SI	26.4062346377251	7.14392345036206	0.834213955614194	8.31137005819837	9.46034025717614e-17	9.24930189759298e-15
Arbuckle	FPLK01001422.16.1527	Enriched in SG	2.39042019984977	-4.72756232652044	1.81160590732521	-2.57992310482759	0.00988223172142584	0.0399374134115493
Arbuckle	KF668664.1.1330	Enriched in SI	1.55641845502731	3.54985607025206	1.35594104630376	2.62352483703964	0.00870250997312208	0.0357379327167631
Arbuckle	FUFK010053222.2479.3996	Enriched in SI	3.2994587540392	4.2666855662623	1.09235977714565	3.78225385463234	0.000155414746611774	0.00110973114013238
Arbuckle	KJ192031.1.1509	Enriched in SG	10.588235097656	-7.55252135087838	1.4155427788199	-5.29100427663658	1.2164652140447e-07	1.9950029510333e-06
Arbuckle	HM159971.1.1501	Enriched in SI	10.5360676427311	7.48366501313901	1.20666965054399	6.01180198176737	1.83472350817321e-09	4.57241878213362e-08
Arbuckle	AJXW01000099.273.1818	Enriched in SI	35.0488901206194	9.7875733683194	1.40054566066758	6.73250937596363	1.66761637668203e-11	6.46313969836619e-10
Arbuckle	LGUW01000207.343.1894	Enriched in SI	4.44252647979524	5.47147167106584	1.34958452611537	3.98981116586921	6.61259185954062e-05	0.000523651355356768
Arbuckle	KC331295.1.1522	Enriched in SG	3.07116720226417	-5.00285584092617	1.61194944492681	-3.06762311347235	0.00215768560120409	0.0110358889301022
Arbuckle	AY792243.1.1526	Enriched in SI	237.382892265552	5.17499543327997	0.721197650226423	7.15526138757345	8.35136362901146e-13	4.61503616194503e-11
Arbuckle	FPLP01001065.18.1535	Enriched in SG	6.67377089955847	-5.71358485500076	1.52090637744158	-3.7458006524925	0.000179819345030606	0.00126270932339171
Arbuckle	FPLP01006742.17.1552	Enriched in SG	9.80353449916748	-6.94372133581343	1.35422464873348	-5.11347649048574	3.1628313563975e-07	4.59423846169282e-06
Arbuckle	KJ809328.1.1510	Enriched in SI	205.58072162535	5.64886133672102	0.778569996342617	7.21350013641823	5.45316693020813e-13	3.0804334081309e-11
Arbuckle	FCOT01000007.86715.88218	Enriched in SI	3.36357750062811	3.53214215071256	1.39193758533877	2.57224276336987	0.0101042012567428	0.0406406322700002
Arbuckle	FJ375365.1.1563	Enriched in SG	156.920217915838	-2.20103042964388	0.518341905140681	-4.25021950282394	2.13561125674575e-05	0.000193882993380275
Arbuckle	KF180065.1.1439	Enriched in SG	4.40335177430156	-3.97225847114772	1.47116949626353	-2.70489578858109	0.00683258205779146	0.0297404513542909
Arbuckle	GQ249625.1.1521	Enriched in SI	8.39709128646851	5.06365565775397	1.37889602013862	3.56617940801127	0.000362223444151516	0.00234890815059478
Arbuckle	HQ190384.1.1493	Enriched in SG	8.3840350501583	-5.12515819980242	1.31194817942955	-3.90153587799728	9.55842910845255e-05	0.00072529930727422
Arbuckle	AF387628.1.1576	Enriched in SG	4.44497202317231	-5.70823651876856	1.82980320245228	-3.0685204310637	0.00215121618037216	0.0110249829244073
Arbuckle	EU434597.1.1476	Enriched in SI	1.31486884405385	4.14835882770731	1.63209945648383	2.51172960331344	0.0120141103666733	0.0472753383159189
Arbuckle	DQ501302.1.1481	Enriched in SG	9.32973962581084	-5.5198095906313	1.40962040994811	-3.8901384512503	0.000100187044351524	0.000755713551161939
Arbuckle	CP015027.1029839.1031395	Enriched in SI	3.16640702557889	4.89892831666877	1.21589842307043	3.94293345624327	8.04909943121488e-05	0.000619414514628256
Arbuckle	JX105539.1.1481	Enriched in SG	19.819414638647	-4.38865243642555	1.47783049454935	-2.96493907351376	0.00302742880386115	0.0147427663207185
Arbuckle	FPLL01008553.9.1546	Enriched in SG	2.53632517212568	-3.53143209242255	1.08492873481986	-3.27255321708909	0.00106580806231771	0.00599399135931776
Arbuckle	AXVY01000004.645.2106	Enriched in SI	14.1366978951255	4.82194069225394	1.1149817117165	4.22607757305796	2.37800043741428e-05	0.000211359339577172
Arbuckle	FPLL01004284.9.1534	Enriched in SI	19.8997966076143	8.06329551227081	1.09367168269935	7.23394023418182	4.69178313577918e-13	2.71057107526152e-11
Arbuckle	HE681375.1.1529	Enriched in SI	1.42879472283386	4.49682150565097	1.37558734710386	3.22447427304628	0.00126204195712247	0.00689916269893618
Arbuckle	FJ375378.1.1557	Enriched in SG	22.9632004220766	-3.15555281492742	0.93704951673344	-3.34114591798503	0.000834333614424729	0.00483115272862793
Arbuckle	BACV01000023.6069.7570	Enriched in SI	4.07107202555359	6.44674143120642	1.20635707496383	5.23140734212237	1.68224351899095e-07	2.57606206341867e-06
Arbuckle	BBFS01000160.204.1722	Enriched in SI	4.48854424275933	5.81911343746168	1.54117151376938	3.59097350465688	0.000329445129188479	0.0021473064574285
